Program,ProjectNumber,ProjectTitle,ProjectDescription,AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,Round,ApprovalDate,LeadResearchInstitution,City,OntarioCommitment,TotalProjectCosts,Keyword,Expenditure_Type,Salutation,First_Name,Middle_Name,Last_Name,OIA_Area
International Strategic Opportunities Program,IS10-08-054,Development of Supercritical-Fluid Technology for Next Generation Nuclear Reactors and Coal-Fired Thermal Power Plants,Development of Supercritical-Fluid Technology for Next Generation Nuclear Reactors and Coal-Fired Thermal Power Plants,5.2,5.7,11500,11200,08,15-Nov-10,University of Ontario Institute of Technology,Oshawa,"$150,000","$420,000",,Operating,Dr.,Igor,NA,Piora,Not Applicable
International Strategic Opportunities Program,IS09-07-45,The Ontario Stem Cell Initiative International Partnership Program,The Ontario Stem Cell Initiative International Partnership Program,4.1,4.3,15200,14500,07,23-Dec-09,Hospital for Sick Children,Toronto,"$150,000","$400,000",,Operating,Dr.,Janet,NA,Rossant,Advanced health technologies
International Strategic Opportunities Program,IS10-08-047,Extending Canadian Biomedical Informatics Research to the Global Arena to Collaborate on Early Detection and Management of Alzheimer’s Disease,Extending Canadian Biomedical Informatics Research to the Global Arena to Collaborate on Early Detection and Management of Alzheimer’s Disease,4.3,4.1,40001,99998,07,10-Aug-10,Lawson Health Research Institute,London,"$140,525","$281,050","biomedical, alzheimer's",Operating,Dr.,Femida,NA,Gwadry-Sridhar,Advanced health technologies
International Strategic Opportunities Program,IS10-08-048,Multi-Representational Annotation Tools for Interoperable Digital Application,Multi-Representational Annotation Tools for Interoperable Digital Application,7.6.3,10,20600,31000,08,10-Aug-10,University of Waterloo,Waterloo,"$149,785","$380,964",,Operating,Dr.,Christine,NA,McWebb,Not Applicable
International Strategic Opportunities Program,IS10-08-049,The China-Ontario Bio-Analytical Consortium,"The China-Ontario Bio-Analytical Consortium, Ottawa Institute of Systems Biology",4.1,7.1,15200,99998,08,10-Aug-10,University of Ottawa,Ottawa,"$150,000","$316,242",,Operating,Dr.,Daniel,NA,Figeys,Advanced health technologies
International Strategic Opportunities Program,IS10-08-053,Understanding Childhood Arthritis Network (UCAN): Towards a harmonized approach to the conduct of research in childhood arthritis worldwide,Understanding Childhood Arthritis Network (UCAN): Towards a harmonized approach to the conduct of research in childhood arthritis worldwide,4.1,4.2,5000,99998,08,24-Sep-10,Hospital for Sick Children,Toronto,"$150,000","$431,500",,Operating,Dr.,Rae,NA,Yeung,Advanced health technologies
International Strategic Opportunities Program,IS10-08-055,"Initiation the application of innovative fresh water management in the Three Gorges Reservoir, China","Initiation the application of innovative fresh water management in the Three Gorges Reservoir, China",3.4,10,10000,99998,08,5-Oct-10,University of Windsor,Windsor,"$66,064","$144,067",,Operating,Dr.,Douglas,NA,Haffner,Bio-economy and clean technologies
International Strategic Opportunities Program,IS10-08-056,International Society for Stem Cell Research Meeting,International Society for Stem Cell Research Meeting,4.9,4.1,15200,99998,08,1-Oct-10,University Health Network,Toronto,"$150,000","$2,174,397",,Operating,Dr.,Gordon,NA,Keller,Advanced health technologies
International Strategic Opportunities Program,IS11-09-058,Practice Pattern Variation in Discontinuing Mechanical Ventilation in Critically Ill Adults: An International Observational Study,Practice Pattern Variation in Discontinuing Mechanical Ventilation in Critically Ill Adults: An International Observational Study,4.1,4.9,42500,41300,09,1-May-11,St. Michael's Hospital,Toronto,"$139,842","$279,684",,Operating,Dr.,Karen,NA,Burns,Advanced health technologies
International Strategic Opportunities Program,IS10-08-051,Portable Medical Instruments for Remote Diagnostics,Portable Medical Instruments for Remote Diagnostics,4.3,4.1,42500,42300,08,22-Nov-10,McMaster University,Hamilton,"$150,000","$333,100",,Operating,Dr.,Changqing,NA,Xu,Advanced health technologies
International Strategic Opportunities Program,IS05-01-002,International Consortium on Anti-Virals (ICAV),"The International Consortium on Anti-Virals (ICAV) has been created to discover, develop and deliver new therapeutic interventions for viral infections. By linking scientists, clinicians and others from Universities, Institutes, Hospitals and Industry around the world, ICAV will not only facilitate knowledge transfer and effective use of limited resources and global expertise, but will also accelerate the development and delivery of drugs that target viral diseases worldwide. The basis of the scientific platform is the fact that many viruses use similar host functions as part of their infectious cycle. Therefore, drugs that inhibit these conserved functions have the potential to work against newly emerging viruses. The discovery and development of such “enhanced-spectrum” anti-virals is a major focus of the Consortium.",4.3,N/A,40900,99998,01,22-Sep-05,Trent University,Peterborough,"$150,000","$2,594,560",,Operating,Dr.,Jeremy,,Carver,Advanced health technologies
